dt,updateTime,filterObjects,sum,mean,min,max
15,2,16,1184,74,74,74
16,2,16,1184,74,74,74
18,3,16,1184,74,74,74
16,2,16,1184,74,74,74
19,2,16,1184,74,74,74
14,3,16,1184,74,74,74
17,2,16,1184,74,74,74
16,2,16,1184,74,74,74
17,3,16,1184,74,74,74
17,3,16,1184,74,74,74
17,3,16,1184,74,74,74
16,4,16,1184,74,74,74
17,3,16,1184,74,74,74
17,3,16,1184,74,74,74
16,2,16,1184,74,74,74
17,3,16,1184,74,74,74
16,3,16,1184,74,74,74
17,3,16,1184,74,74,74
17,2,16,1184,74,74,74
17,3,16,1184,74,74,74
16,3,16,1184,74,74,74
18,3,16,1184,74,74,74
16,2,16,1184,74,74,74
16,4,16,1184,74,74,74
17,3,16,1184,74,74,74
17,3,16,1184,74,74,74
17,3,16,1184,74,74,74
18,2,16,1184,74,74,74
16,3,16,1184,74,74,74
17,3,16,1184,74,74,74
15,2,16,1184,74,74,74
18,2,16,1184,74,74,74
16,2,16,1184,74,74,74
16,3,16,1184,74,74,74
17,2,16,1184,74,74,74
18,3,16,1184,74,74,74
15,3,16,1184,74,74,74
16,2,16,1184,74,74,74
17,3,16,1184,74,74,74
19,2,16,1184,74,74,74
15,2,16,1184,74,74,74
16,2,16,1184,74,74,74
17,3,16,1184,74,74,74
17,3,16,1184,74,74,74
16,3,16,1184,74,74,74
18,3,16,1184,74,74,74
17,3,16,1184,74,74,74
17,3,16,1184,74,74,74
17,3,16,1184,74,74,74
15,3,16,1184,74,74,74
17,2,16,1184,74,74,74
16,3,16,1184,74,74,74
17,3,16,1184,74,74,74
17,2,16,1184,74,74,74
16,2,16,1184,74,74,74
17,2,16,1184,74,74,74
17,2,16,1184,74,74,74
17,2,16,1184,74,74,74
16,2,16,1184,74,74,74
17,4,16,1184,74,74,74
4,24,16,86,5.375,2,8
45,9,16,128,8,8,8
17,7,16,128,8,8,8
16,10,16,128,8,8,8
17,3,16,128,8,8,8
18,3,16,128,8,8,8
16,4,16,128,8,8,8
17,3,16,128,8,8,8
18,9,16,128,8,8,8
15,2,16,128,8,8,8
19,2,16,128,8,8,8
15,3,16,128,8,8,8
16,3,16,128,8,8,8
18,1,16,128,8,8,8
16,3,16,128,8,8,8
17,2,16,128,8,8,8
16,3,16,128,8,8,8
16,3,16,128,8,8,8
17,19,16,128,8,8,8
33,3,16,128,8,8,8
17,1,16,128,8,8,8
16,4,16,128,8,8,8
17,3,16,128,8,8,8
17,5,16,128,8,8,8
17,2,16,128,8,8,8
16,2,16,128,8,8,8
17,3,16,128,8,8,8
16,1,16,128,8,8,8
17,2,16,128,8,8,8
17,1,16,128,8,8,8
16,2,16,128,8,8,8
17,4,16,128,8,8,8
17,1,16,128,8,8,8
17,1,16,128,8,8,8
16,2,16,128,8,8,8
17,1,16,128,8,8,8
18,1,16,128,8,8,8
16,3,16,128,8,8,8
17,3,16,128,8,8,8
16,2,16,128,8,8,8
17,2,16,128,8,8,8
16,3,16,128,8,8,8
17,3,16,128,8,8,8
17,5,16,128,8,8,8
17,1,16,128,8,8,8
16,2,16,128,8,8,8
17,1,16,128,8,8,8
17,1,16,128,8,8,8
16,1,16,128,8,8,8
17,1,16,128,8,8,8
16,1,16,128,8,8,8
20,1,16,128,8,8,8
14,2,16,128,8,8,8
17,1,16,128,8,8,8
16,2,16,128,8,8,8
17,2,16,128,8,8,8
16,2,16,128,8,8,8
18,1,16,128,8,8,8
16,1,16,128,8,8,8
18,11,19,182,9.578947368421053,8,11
32,6,17,187,11,11,11
16,2,17,187,11,11,11
18,1,17,187,11,11,11
16,2,17,187,11,11,11
17,4,17,187,11,11,11
16,4,17,187,11,11,11
17,4,17,187,11,11,11
17,1,17,187,11,11,11
19,1,17,187,11,11,11
14,2,17,187,11,11,11
16,1,17,187,11,11,11
19,2,17,187,11,11,11
14,2,17,187,11,11,11
18,1,17,187,11,11,11
16,2,17,187,11,11,11
19,1,17,187,11,11,11
14,1,17,187,11,11,11
17,1,17,187,11,11,11
17,3,17,187,11,11,11
17,1,17,187,11,11,11
16,1,17,187,11,11,11
17,1,17,187,11,11,11
16,1,17,187,11,11,11
18,1,17,187,11,11,11
17,0,17,187,11,11,11
16,1,17,187,11,11,11
16,1,17,187,11,11,11
17,1,17,187,11,11,11
16,1,17,187,11,11,11
18,1,17,187,11,11,11
16,2,17,187,11,11,11
17,2,17,187,11,11,11
16,1,17,187,11,11,11
17,2,17,187,11,11,11
17,9,17,124,7.294117647058823,2,11
16,43,72,2034,28.25,27,33
50,17,72,2376,33,33,33
35,12,72,2376,33,33,33
15,8,72,2376,33,33,33
18,12,72,2376,33,33,33
16,10,72,2376,33,33,33
16,7,72,2376,33,33,33
18,6,72,2376,33,33,33
15,6,72,2376,33,33,33
18,4,72,2376,33,33,33
17,6,72,2376,33,33,33
16,4,72,2376,33,33,33
16,7,72,2376,33,33,33
18,8,72,2376,33,33,33
16,5,72,2376,33,33,33
17,6,72,2376,33,33,33
16,5,72,2376,33,33,33
16,11,72,2376,33,33,33
17,4,72,2376,33,33,33
17,5,72,2376,33,33,33
17,5,72,2376,33,33,33
16,8,72,2376,33,33,33
18,6,72,2376,33,33,33
16,6,72,2376,33,33,33
16,7,72,2376,33,33,33
17,19,72,2376,33,33,33
35,5,72,2376,33,33,33
15,4,72,2376,33,33,33
17,3,72,2376,33,33,33
17,4,72,2376,33,33,33
17,6,72,2376,33,33,33
15,5,72,2376,33,33,33
19,6,72,2376,33,33,33
16,6,72,2376,33,33,33
16,11,72,2376,33,33,33
16,8,72,2376,33,33,33
17,11,72,2376,33,33,33
34,4,72,2376,33,33,33
16,4,72,2376,33,33,33
18,3,72,2376,33,33,33
15,4,72,2376,33,33,33
18,4,72,2376,33,33,33
18,4,72,2376,33,33,33
14,5,72,2376,33,33,33
18,5,72,2376,33,33,33
17,6,72,2376,33,33,33
15,4,72,2376,33,33,33
18,3,72,2376,33,33,33
16,5,72,2376,33,33,33
16,5,72,2376,33,33,33
18,9,72,2419,33.59722222222222,33,34
16,4,72,2448,34,34,34
16,5,72,2448,34,34,34
17,5,72,2448,34,34,34
17,5,72,2448,34,34,34
17,4,72,2448,34,34,34
17,4,72,2448,34,34,34
16,4,72,2448,34,34,34
17,5,72,2448,34,34,34
16,4,72,2448,34,34,34
17,6,72,2448,34,34,34
16,6,72,2448,34,34,34
18,4,72,2448,34,34,34
16,7,72,2448,34,34,34
16,6,72,2448,34,34,34
18,9,72,2448,34,34,34
16,8,72,2448,34,34,34
17,7,72,2448,34,34,34
17,7,72,2448,34,34,34
16,12,72,2448,34,34,34
17,7,72,2448,34,34,34
17,5,72,2448,34,34,34
17,13,72,2448,34,34,34
19,10,72,2448,34,34,34
13,6,72,2448,34,34,34
18,6,72,2448,34,34,34
17,5,72,2448,34,34,34
16,6,72,2448,34,34,34
16,6,72,2448,34,34,34
17,4,72,2448,34,34,34
17,5,72,2448,34,34,34
17,4,72,2448,34,34,34
16,4,72,2448,34,34,34
17,6,72,2448,34,34,34
16,5,72,2448,34,34,34
17,4,72,2448,34,34,34
17,3,72,2448,34,34,34
17,5,72,2448,34,34,34
16,5,72,2448,34,34,34
17,3,72,2448,34,34,34
16,6,72,2448,34,34,34
18,4,72,2448,34,34,34
16,6,72,2448,34,34,34
16,4,72,2448,34,34,34
18,4,72,2448,34,34,34
16,4,72,2448,34,34,34
17,5,72,2448,34,34,34
16,4,72,2448,34,34,34
17,3,72,2448,34,34,34
16,6,72,2448,34,34,34
18,4,72,2448,34,34,34
16,4,72,2448,34,34,34
17,6,72,2448,34,34,34
